SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-13-2015,Single Family Residential,1157 S Stelling Rd,CUPERTINO,CA,95014,1500000,3,2,CUPERTINO,1190,6000,1960,1640,1261,,Sold,,,http://www.redfin.com/CA/Cupertino/1157-S-Stelling-Rd-95014/home/625250,MLSListings,ML81448134,N,Y,37.3038158,-122.0417268
PAST SALE,April-17-2018,Single Family Residential,10340 Las Ondas Way,CUPERTINO,CA,95014,2798000,4,2.5,CUPERTINO,2310,7200,1962,509,1211,,Sold,,,http://www.redfin.com/CA/Cupertino/10340-Las-Ondas-Way-95014/home/1700733,MLSListings,ML81695379,N,Y,37.3179575,-122.0242313
PAST SALE,February-4-2019,Single Family Residential,1035 W Homestead Rd,SUNNYVALE,CA,94087,2200000,4,3,SUNNYVALE,2443,7171,1958,216,901,,Sold,,,http://www.redfin.com/CA/Sunnyvale/1035-W-Homestead-Rd-94087/home/995910,MLSListings,ML81733182,N,Y,37.3377917,-122.0566224
PAST SALE,July-9-2018,Townhouse,11030 Firethorne Dr,CUPERTINO,CA,95014,1307000,2,2.5,CUPERTINO,1385,2331,1977,426,944,325,Sold,,,http://www.redfin.com/CA/Cupertino/11030-Firethorne-Dr-95014/home/772361,MLSListings,ML81708624,N,Y,37.3382695,-122.032713
PAST SALE,July-12-2019,Single Family Residential,10590 S Tantau Ave,CUPERTINO,CA,95014,2090000,3,3,CUPERTINO,1964,5355,1953,58,1064,,Sold,,,http://www.redfin.com/CA/Cupertino/10590-S-Tantau-Ave-95014/home/1793012,MLSListings,ML81753390,N,Y,37.3143436,-122.0073104
PAST SALE,January-11-2013,Condo/Co-op,20488 STEVENS CREEK Blvd #1309,Cupertino,CA,95014,475000,1,1,Cupertino,850,435,2003,2431,559,307,Sold,,,http://www.redfin.com/CA/Cupertino/20488-Stevens-Creek-Blvd-95014/unit-1309/home/1052288,MLSListings,ML81241948,N,Y,37.3220569,-122.0304224
PAST SALE,May-31-2017,Single Family Residential,1120 Elmsford Dr,CUPERTINO,CA,95014,1860000,3,2.5,CUPERTINO,1724,6804,1966,830,1079,,Sold,,,http://www.redfin.com/CA/Cupertino/1120-Elmsford-Dr-95014/home/1622624,MLSListings,ML81648326,N,Y,37.3059504,-122.045856
PAST SALE,July-10-2018,Single Family Residential,916 Forest Ridge Dr,SAN JOSE,CA,95129,2380000,5,3,SAN JOSE,2239,6000,1967,425,1063,,Sold,,,http://www.redfin.com/CA/San-Jose/916-Forest-Ridge-Dr-95129/home/1227933,MLSListings,ML81709982,N,Y,37.3110378,-121.9943403
PAST SALE,March-16-2017,Townhouse,10059 Dove Oak Ct,CUPERTINO,CA,95014,1315000,3,2.5,CUPERTINO,1710,1862,1972,906,769,365,Sold,,,http://www.redfin.com/CA/Cupertino/10059-Dove-Oak-Ct-95014/home/779436,MLSListings,ML81639484,N,Y,37.322846,-122.072993
PAST SALE,September-25-2015,Single Family Residential,21612 Regnart Rd,CUPERTINO,CA,95014,1980000,4,2.5,CUPERTINO,2066,7811,1966,1444,958,,Sold,,,http://www.redfin.com/CA/Cupertino/21612-Regnart-Rd-95014/home/847591,MLSListings,ML81500681,N,Y,37.302355,-122.0529153
